DATE CASE;TYPE;PRODUCT CATEGORY;PRODUCT;HAZARD;ORIGIN COUNTRY;RISK DECISION
18/05/2022;food;dietetic foods, food supplements, fortified foods;food supplements;1,3 dimethylamylamin (dmaa);unknown origin country;serious
23/02/2022;food;dietetic foods, food supplements, fortified foods;food supplements;1,3 dimethylamylamin (dmaa);unknown origin country;serious
02/06/2021;food;dietetic foods, food supplements, fortified foods;food supplements;1,3 dimethylamylamin (dmaa);unknown origin country;serious
03/07/2020;food;dietetic foods, food supplements, fortified foods;food supplement;1,3 dimethylamylamin (dmaa);poland;serious
12/02/2020;food;dietetic foods, food supplements, fortified foods;food supplements;1,3 dimethylamylamin (dmaa);unknown origin country;serious
28/12/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);unknown origin country;serious
23/12/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);united states;serious
26/11/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);unknown origin country;serious
23/11/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);india;serious
17/11/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);unknown origin country;serious
29/10/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);unknown origin country;serious
23/10/2020;food;dietetic foods, food supplements, fortified foods;dnp 2,4 dinitrophenol;2,4-dinitrophenol (dnp);china;serious
16/10/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);unknown origin country;serious
06/10/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);unknown origin country;serious
24/06/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);united states;serious
22/06/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);turkey;serious
13/05/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);canada;serious
30/04/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);united states;serious
29/04/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);united states;serious
29/04/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);unknown origin country;serious
28/04/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);united states;serious
21/04/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);united states;serious
20/04/2020;food;dietetic foods, food supplements, fortified foods;dnp powder;2,4-dinitrophenol (dnp);china;serious
15/04/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);south korea;serious
14/04/2020;food;dietetic foods, food supplements, fortified foods;dnp;2,4-dinitrophenol (dnp);panama;serious
